permno,PERMCO,HSHRCD,DLSTCD,HTICK,HCOMNAM,HTSYMBOL,HNAICS,HPRIMEXC,HTRDSTAT,HSECSTAT,COMPNO,ISSUNO,HEXCD,HSICCD,NUMNAM,NUMSHR,NUMDEL,NUMNDI,BEGDAT,ENDDAT,BEGPRC,ENDPRC,BEGRET,ENDRET,MKTCAPDAY0,ADJPRCDAY0
10104,8045,11,100,ORCL,ORACLE CORP,ORCL,541512,N,A,R,60007998,10536,1,7379,5,322,1,2083,1986-03-12,2024-12-31,1986-03-12,2024-12-31,1986-03-12,2024-12-31,158145708.14999998,38.55
10107,8048,11,100,MSFT,MICROSOFT CORP,MSFT,513210,Q,A,R,60008001,10539,3,7370,3,280,1,2260,1986-03-13,2024-12-31,1986-03-13,2024-12-31,1986-03-13,2024-12-31,483743400.0,62.58
10138,8087,11,100,TROW,T ROWE PRICE GROUP INC,TROW,523940,Q,A,R,60008040,10609,3,6211,7,284,1,1717,1986-04-02,2024-12-31,1986-04-02,2024-12-31,1986-04-02,2024-12-31,18564418.560000002,75.84
10145,22168,11,100,HON,HONEYWELL INTERNATIONAL INC,HON,336412,Q,A,R,60018933,25476,3,3724,19,497,1,96,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,84983633.12477025,111.50878546796163
10516,20207,11,100,ADM,ARCHER DANIELS MIDLAND CO,ADM,311221,N,A,R,0,0,1,2046,9,532,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,26577726.0,46.19
10693,8596,11,100,EHC,ENCOMPASS HEALTH CORP,EHC,622310,N,A,R,60008546,11349,1,8069,9,373,1,88,1986-09-24,2024-12-31,1986-09-24,2024-12-31,1986-09-24,2024-12-31,3002085.9820655053,33.4322907709197
10696,8598,11,100,FI,FISERV INC,FI,518210,N,A,R,60008548,11354,1,7374,4,292,1,1799,1986-09-25,2024-12-31,1986-09-25,2024-12-31,1986-09-25,2024-12-31,23131770.0,53.67
10866,20342,11,100,CAL,CALERES INC,CAL,458210,N,A,R,0,0,1,5661,13,502,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1400371.23,32.61
10874,20344,11,100,BC,BRUNSWICK CORP,BC,333618,N,A,R,0,0,1,3519,10,497,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,4967032.2,55.38
10890,21814,11,100,UIS,UNISYS CORP,UIS,541512,N,A,R,0,0,1,7373,11,506,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,751245.0,15.0
11308,20468,11,100,KO,COCA COLA CO,KO,311930,N,A,R,0,0,1,2087,7,502,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,180281686.2,41.8
11403,9245,11,100,CDNS,CADENCE DESIGN SYSTEMS INC,CDNS,513210,Q,A,R,60018179,24495,3,7372,10,298,1,890,1987-06-10,2024-12-31,1987-06-10,2024-12-31,1987-06-10,2024-12-31,7047028.66,25.34
11404,20499,11,100,ED,CONSOLIDATED EDISON INC,ED,221118,N,A,R,0,0,1,4931,11,500,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,22437122.639999997,73.63
11533,9360,11,100,FICO,FAIR ISAAC CORP,FICO,561499,N,A,R,60009304,12449,1,7389,13,395,1,47,1987-07-22,2024-12-31,1987-07-22,2024-12-31,1987-07-22,2024-12-31,3718179.97,120.17
11600,9424,11,100,XRAY,DENTSPLY SIRONA INC,XRAY,339114,Q,A,R,60009368,12540,3,3840,4,274,1,1686,1987-08-12,2024-12-31,1987-08-12,2024-12-31,1987-08-12,2024-12-31,13488462.0,58.62
11618,9440,11,100,FAST,FASTENAL CO,FAST,423840,Q,A,R,60009384,12569,3,5200,5,288,1,1851,1987-08-20,2024-12-31,1987-08-20,2024-12-31,1987-08-20,2024-12-31,13576155.9,23.475
11674,20574,11,100,DTE,D T E ENERGY CO,DTE,221118,N,A,R,0,0,1,4911,8,509,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,14836205.485645201,82.68289623342827
11850,20678,11,100,XOM,EXXON MOBIL CORP,XOM,211120,N,A,R,0,0,1,1311,10,508,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,376892926.77,90.89
11891,9764,11,100,MGM,M G M RESORTS INTERNATIONAL,MGM,721110,N,A,R,60009700,13015,1,7011,10,408,1,24,1988-05-02,2024-12-31,1988-05-02,2024-12-31,1988-05-02,2024-12-31,16902859.16,29.48
11955,9804,11,100,WM,WASTE MANAGEMENT INC DEL,WM,562219,N,A,R,60009739,13069,1,4953,7,401,1,133,1988-06-03,2024-12-31,1988-06-03,2024-12-31,1988-06-03,2024-12-31,31170051.56,70.52
11990,53463,11,100,KKR,K K R & CO INC,KKR,523940,N,A,R,0,0,1,6282,8,183,1,0,2010-07-15,2024-12-31,2010-07-15,2024-12-31,2010-07-15,2024-12-31,7116075.73,15.83
12052,20791,11,100,GD,GENERAL DYNAMICS CORP,GD,336411,N,A,R,0,0,1,3721,8,489,1,0,1926-01-28,2024-12-31,1926-01-28,2024-12-31,1926-01-28,2024-12-31,53428034.0,175.45
12060,20792,11,100,GE,GENERAL ELECTRIC CO,GE,333611,N,A,R,0,0,1,3511,11,492,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,173333147.2894099,156.74927041598656
12062,9848,11,100,LH,LABCORP HOLDINGS INC,LH,621511,N,A,R,60009782,13132,1,8071,10,406,1,52,1988-07-07,2024-12-31,1988-07-07,2024-12-31,1988-07-07,2024-12-31,11301381.859759338,109.722153978246
