index,permno,PERMCO,HSHRCD,DLSTCD,HTICK,HCOMNAM,HTSYMBOL,HNAICS,HPRIMEXC,HTRDSTAT,HSECSTAT,COMPNO,ISSUNO,HEXCD,HSICCD,NUMNAM,NUMSHR,NUMDEL,NUMNDI,BEGDAT,ENDDAT,BEGPRC,ENDPRC,BEGRET,ENDRET,MKTCAPDAY0
17,11850,20678,11,100,XOM,EXXON MOBIL CORP,XOM,211120,N,A,R,0,0,1,1311,10,508,1,0,12/31/1925,12/31/2024,12/31/1925,12/31/2024,12/31/1925,12/31/2024,376892926.8
313,75825,22113,11,100,EOG,EOG RESOURCES INC,EOG,211120,N,A,R,0,0,1,1311,8,403,1,0,10/4/1989,12/31/2024,10/4/1989,12/31/2024,10/4/1989,12/31/2024,59686461.32
175,34833,21322,11,100,OXY,OCCIDENTAL PETROLEUM CORP,OXY,211120,N,A,R,0,0,1,1311,8,468,1,0,7/2/1962,12/31/2024,7/2/1962,12/31/2024,7/2/1962,12/31/2024,55227866.76
284,64936,20592,11,100,D,DOMINION ENERGY INC,D,211120,N,A,R,0,0,1,1311,10,426,1,0,6/2/1983,12/31/2024,6/2/1983,12/31/2024,6/2/1983,12/31/2024,47789687.5
433,87137,35222,11,100,DVN,DEVON ENERGY CORP NEW,DVN,211120,N,A,R,0,0,1,1311,6,314,1,0,8/18/1999,12/31/2024,8/18/1999,12/31/2024,8/18/1999,12/31/2024,24651088
186,39490,20204,11,100,APA,A P A CORP,APA,211120,Q,A,R,60017868,24099,3,1311,13,451,1,45,8/2/1963,12/31/2024,8/2/1963,12/31/2024,8/2/1963,12/31/2024,24199981.62
317,76082,26024,11,100,CTRA,COTERRA ENERGY INC,CTRA,211120,N,A,R,0,0,1,1311,7,400,1,0,2/8/1990,12/31/2024,2/8/1990,12/31/2024,2/8/1990,12/31/2024,10391451
45,13641,54222,11,100,FANG,DIAMONDBACK ENERGY INC,FANG,211120,Q,A,R,2003649,70296,3,9999,3,120,1,403,10/12/2012,12/31/2024,10/12/2012,12/31/2024,10/12/2012,12/31/2024,9307368
224,50017,2706,11,100,RRC,RANGE RESOURCES CORP,RRC,211120,N,A,R,60002705,3451,1,1311,14,408,1,204,6/19/1980,12/31/2024,6/19/1980,12/31/2024,6/19/1980,12/31/2024,8056927
136,24328,20662,11,100,EQT,E Q T CORP,EQT,211120,N,A,R,0,0,1,1311,11,473,1,0,6/5/1950,12/31/2024,6/5/1950,12/31/2024,6/5/1950,12/31/2024,5824260.423
162,28345,21236,11,100,MUR,MURPHY OIL CORP,MUR,211120,N,A,R,0,0,1,1311,8,461,1,0,1/2/1962,12/31/2024,1/2/1962,12/31/2024,1/2/1962,12/31/2024,5446686
427,86799,35026,11,100,CNX,C N X RESOURCES CORP,CNX,211120,N,A,R,0,0,1,1311,11,321,1,0,4/30/1999,12/31/2024,4/30/1999,12/31/2024,4/30/1999,12/31/2024,3287695.802
107,21207,21286,11,100,NEM,NEWMONT CORP,NEM,212220,N,A,R,0,0,1,1041,9,489,1,0,1/27/1940,12/31/2024,1/27/1940,12/31/2024,1/27/1940,12/31/2024,18379872.5
376,81774,20763,11,100,FCX,FREEPORT MCMORAN INC,FCX,212230,N,A,R,0,0,1,1021,9,364,1,0,7/31/1995,12/31/2024,7/31/1995,12/31/2024,7/31/1995,12/31/2024,18764060.64
70,15202,21876,11,100,VMC,VULCAN MATERIALS CO,VMC,212313,N,A,R,0,0,1,1423,11,485,1,0,12/31/1925,12/31/2024,12/31/1925,12/31/2024,12/31/1925,12/31/2024,16490993.76
363,80204,30260,11,100,MLM,MARTIN MARIETTA MATERIALS INC,MLM,212313,N,A,R,0,0,1,1423,8,380,1,0,2/17/1994,12/31/2024,2/17/1994,12/31/2024,2/17/1994,12/31/2024,14173861.78
167,32707,20902,11,100,HP,HELMERICH & PAYNE INC,HP,213111,N,A,R,0,0,1,1381,7,451,1,0,7/2/1962,12/31/2024,7/2/1962,12/31/2024,7/2/1962,12/31/2024,8520020.52
52,13928,21401,11,100,COP,CONOCOPHILLIPS,COP,213112,N,A,R,0,0,1,1382,9,504,1,0,12/31/1925,12/31/2024,12/31/1925,12/31/2024,12/31/1925,12/31/2024,62707156.47
129,23819,20868,11,100,HAL,HALLIBURTON CO,HAL,213112,N,A,R,0,0,1,1389,6,474,1,0,9/15/1948,12/31/2024,9/15/1948,12/31/2024,9/15/1948,12/31/2024,48132687.36
153,27422,20462,11,100,CLF,CLEVELAND CLIFFS INC NEW,CLF,213114,N,A,R,0,0,1,1081,10,457,1,0,7/27/1960,12/31/2024,7/27/1960,12/31/2024,7/27/1960,12/31/2024,1985466
